ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2025-01] 07-012-44-000,2025-01,2025,[01] January,"Trinidad, Bohol",[1] Operational,,,,,[A] Operational,B,07-012-44-000,Trinidad,Bohol,Region VII (Central Visayas),Municipality,3rd,R7,J
[2025-01] 07-022-52-000,2025-01,2025,[01] January,"Tuburan, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-52-000,Tuburan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,J
[2025-01] 07-022-53-000,2025-01,2025,[01] January,"Tudela, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-53-000,Tudela,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 08-037-01-000,2025-01,2025,[01] January,"Abuyog, Leyte",[2] Pilot Testing,80%,,For refresher training after renewal period,For refresher training after renewal period,[B] Developmental,B,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),Municipality,1st*,R8,K
[2025-01] 08-037-02-000,2025-01,2025,[01] January,"Alangalang, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-02-000,Alangalang,Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2025-01] 08-060-02-000,2025-01,2025,[01] January,"Basey, Samar",[1] Operational,,,,,[A] Operational,B,08-060-02-000,Basey,Samar,Region VIII (Eastern Visayas),Municipality,1st,R8,K
[2025-01] 08-037-15-000,2025-01,2025,[01] January,"Carigara, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,B,08-037-15-000,Carigara,Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2025-01] 08-026-04-000,2025-01,2025,[01] January,"City of Borongan, Eastern Samar",[1] Operational,,,,Normal Operations,[A] Operational,A,08-026-04-000,City of Borongan,Eastern Samar,Region VIII (Eastern Visayas),City,1st (as Mun),R8,K
[2025-01] 08-064-07-000,2025-01,2025,[01] January,"City of Maasin, Southern Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-064-07-000,City of Maasin,Southern Leyte,Region VIII (Eastern Visayas),City,4th,R8,K
[2025-01] 08-060-07-000,2025-01,2025,[01] January,"Gandara, Samar",[2] Pilot Testing,95%,Internet Connectivity Issues - Unstable Connection,Forwarded follow letter to LGU regarding their implementation but no response.,Internet Connectivity Issues - Unstable ConnectionForwarded follow letter to LGU regarding their implementation but no response.,[B] Developmental,B,08-060-07-000,Gandara,Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2025-01] 08-026-09-000,2025-01,2025,[01] January,"Guiuan, Eastern Samar",[1] Operational,,,,Normal Operations,[A] Operational,B,08-026-09-000,Guiuan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2025-01] 08-037-20-000,2025-01,2025,[01] January,"Hindang, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,B,08-037-20-000,Hindang,Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,K
[2025-01] 08-037-24-000,2025-01,2025,[01] January,"Javier, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,B,08-037-24-000,Javier,Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,K
[2025-01] 08-060-09-000,2025-01,2025,[01] January,"Jiabong, Samar",[1] Operational,,,,,[A] Operational,B,08-060-09-000,Jiabong,Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,K
[2025-01] 08-078-06-000,2025-01,2025,[01] January,"Kawayan, Biliran",[8] Withdraw,,,,Withdrawn,[D] Withdraw,B,08-078-06-000,Kawayan,Biliran,Region VIII (Eastern Visayas),Municipality,5th*,R8,K
[2025-01] 08-037-28-000,2025-01,2025,[01] January,"La Paz, Leyte",[1] Operational,,,,,[A] Operational,B,08-037-28-000,La Paz,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,K
[2025-01] 08-037-29-000,2025-01,2025,[01] January,"Leyte, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-29-000,Leyte,Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,K
[2025-01] 08-064-08-000,2025-01,2025,[01] January,"Macrohon, Southern Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-064-08-000,Macrohon,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,K
[2025-01] 08-078-08-000,2025-01,2025,[01] January,"Naval, Biliran",[1] Operational,,,,Normal Operations,[A] Operational,A,08-078-08-000,Naval,Biliran,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2025-01] 08-037-39-000,2025-01,2025,[01] January,"Palo, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-39-000,Palo,Leyte,Region VIII (Eastern Visayas),Municipality,3rd,R8,K
[2025-01] 08-048-15-000,2025-01,2025,[01] January,"Pambujan, Northern Samar",[1] Operational,,,,Normal Operations,[A] Operational,A,08-048-15-000,Pambujan,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,K
[2025-01] 08-037-41-000,2025-01,2025,[01] January,"Pastrana, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-41-000,Pastrana,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,K
[2025-01] 08-064-14-000,2025-01,2025,[01] January,"San Juan, Southern Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-064-14-000,San Juan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,K
[2025-01] 08-048-20-000,2025-01,2025,[01] January,"San Roque, Northern Samar",[1] Operational,,,,Zero transactions for the month of January 2025,[A] Operational,A,08-048-20-000,San Roque,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,K
[2025-01] 08-064-17-000,2025-01,2025,[01] January,"Sogod, Southern Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-064-17-000,Sogod,Southern Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2025-01] 08-064-18-000,2025-01,2025,[01] January,"Tomas Oppus, Southern Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-064-18-000,Tomas Oppus,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,K
[2025-01] 08-037-26-000,2025-01,2025,[01] January,"Kananga, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-26-000,Kananga,Leyte,Region VIII (Eastern Visayas),Municipality,1st,R8,K
[2025-01] 11-025-03-000,2025-01,2025,[01] January,"Boston, Davao Oriental",[1] Operational,,,,,[A] Operational,A,11-025-03-000,Boston,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 11-025-05-000,2025-01,2025,[01] January,"Cateel, Davao Oriental",[1] Operational,,,,,[A] Operational,A,11-025-05-000,Cateel,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-024-03-000,2025-01,2025,[01] January,"City of Digos, Davao del Sur",[1] Operational,,,,,[A] Operational,B,11-024-03-000,City of Digos,Davao del Sur,Region XI (Davao Region),City,2nd,R11,P
[2025-01] 11-025-09-000,2025-01,2025,[01] January,"City of Mati, Davao Oriental",[1] Operational,,,,,[A] Operational,A,11-025-09-000,City of Mati,Davao Oriental,Region XI (Davao Region),City,5th,R11,P
[2025-01] 11-025-07-000,2025-01,2025,[01] January,"Lupon, Davao Oriental",[1] Operational,,,,,[A] Operational,B,11-025-07-000,Lupon,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 11-024-08-000,2025-01,2025,[01] January,"Malalag, Davao del Sur",[1] Operational,,,,,[A] Operational,A,11-024-08-000,Malalag,Davao del Sur,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-025-08-000,2025-01,2025,[01] January,"Manay, Davao Oriental",[1] Operational,,,,,[A] Operational,A,11-025-08-000,Manay,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-082-05-000,2025-01,2025,[01] January,"Maragusan, Davao de Oro",[1] Operational,,,,,[A] Operational,B,11-082-05-000,Maragusan,Davao de Oro,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 11-024-10-000,2025-01,2025,[01] January,"Matanao, Davao del Sur",[1] Operational,,,,,[A] Operational,A,11-024-10-000,Matanao,Davao del Sur,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-024-11-000,2025-01,2025,[01] January,"Padada, Davao del Sur",[1] Operational,,,,,[A] Operational,B,11-024-11-000,Padada,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 11-024-14-000,2025-01,2025,[01] January,"Sulop, Davao del Sur",[1] Operational,,,,,[A] Operational,A,11-024-14-000,Sulop,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 11-025-11-000,2025-01,2025,[01] January,"Tarragona, Davao Oriental",[1] Operational,,,,,[A] Operational,B,11-025-11-000,Tarragona,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 11-025-06-000,2025-01,2025,[01] January,"Governor Generoso, Davao Oriental",[3] Ongoing Data Build-up,100%,,,,[B] Developmental,A,11-025-06-000,Governor Generoso,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-024-12-000,2025-01,2025,[01] January,"Santa Cruz, Davao del Sur",[3] Ongoing Data Build-up,75%,,,,[B] Developmental,A,11-024-12-000,Santa Cruz,Davao del Sur,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 10-035-01-000,2025-01,2025,[01] January,"Bacolod, Lanao del Norte",[1] Operational,,,,,[A] Operational,B,10-035-01-000,Bacolod,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-042-03-000,2025-01,2025,[01] January,"Bonifacio, Misamis Occidental",[3] Ongoing Data Build-up,100%,Assessed onsite. Scheduled for Refresher's Training in February,,,[B] Developmental,B,10-042-03-000,Bonifacio,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-042-04-000,2025-01,2025,[01] January,"Calamba, Misamis Occidental",[1] Operational,,,,,[A] Operational,A,10-042-04-000,Calamba,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-018-01-000,2025-01,2025,[01] January,"Catarman, Camiguin",[2] Pilot Testing,100%,,,,[B] Developmental,B,10-018-01-000,Catarman,Camiguin,Region X (Northern Mindanao),Municipality,5th,R10,N
[2025-01] 10-043-08-000,2025-01,2025,[01] January,"City of Gingoog, Misamis Oriental",[1] Operational,,,,,[A] Operational,A,10-043-08-000,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),City,2nd,R10,N
[2025-01] 10-042-15-000,2025-01,2025,[01] January,"City of Tangub, Misamis Occidental",[5] For Training,,,,,[C] For Training/Others,B,10-042-15-000,City of Tangub,Misamis Occidental,Region X (Northern Mindanao),City,4th,R10,N
[2025-01] 10-042-05-000,2025-01,2025,[01] January,"Clarin, Misamis Occidental",[5] For Training,,To schedule in February,,,[C] For Training/Others,B,10-042-05-000,Clarin,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-043-06-000,2025-01,2025,[01] January,"Claveria, Misamis Oriental",[1] Operational,,,,,[A] Operational,A,10-043-06-000,Claveria,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,N
[2025-01] 10-043-11-000,2025-01,2025,[01] January,"Jasaan, Misamis Oriental",[1] Operational,,,,,[A] Operational,B,10-043-11-000,Jasaan,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,N
[2025-01] 10-035-05-000,2025-01,2025,[01] January,"Kapatagan, Lanao del Norte",[1] Operational,,,,,[A] Operational,A,10-035-05-000,Kapatagan,Lanao del Norte,Region X (Northern Mindanao),Municipality,2nd,R10,N
[2025-01] 10-043-13-000,2025-01,2025,[01] January,"Lagonglong, Misamis Oriental",[1] Operational,,,,,[A] Operational,A,10-043-13-000,Lagonglong,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,N
[2025-01] 10-043-15-000,2025-01,2025,[01] January,"Libertad, Misamis Oriental",[1] Operational,,,,,[A] Operational,B,10-043-15-000,Libertad,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,N
[2025-01] 10-035-12-000,2025-01,2025,[01] January,"Maigo, Lanao del Norte",[1] Operational,,,,,[A] Operational,A,10-035-12-000,Maigo,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-043-18-000,2025-01,2025,[01] January,"Manticao, Misamis Oriental",[1] Operational,,,,,[A] Operational,B,10-043-18-000,Manticao,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-042-12-000,2025-01,2025,[01] January,"Plaridel, Misamis Occidental",[1] Operational,,,,,[A] Operational,A,10-042-12-000,Plaridel,Misamis Occidental,Region X (Northern Mindanao),Municipality,3rd,R10,N
[2025-01] 10-043-22-000,2025-01,2025,[01] January,"Salay, Misamis Oriental",[1] Operational,,,,,[A] Operational,A,10-043-22-000,Salay,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-042-14-000,2025-01,2025,[01] January,"Sinacaban, Misamis Occidental",[1] Operational,,,,,[A] Operational,A,10-042-14-000,Sinacaban,Misamis Occidental,Region X (Northern Mindanao),Municipality,5th,R10,N
[2025-01] 10-043-24-000,2025-01,2025,[01] January,"Tagoloan, Misamis Oriental",[8] Withdraw,,Responded. Lack of Manpower,,,[D] Withdraw,B,10-043-24-000,Tagoloan,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,N
[2025-01] 10-043-25-000,2025-01,2025,[01] January,"Talisayan, Misamis Oriental",[1] Operational,,,,,[A] Operational,B,10-043-25-000,Talisayan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-035-22-000,2025-01,2025,[01] January,"Tubod, Lanao del Norte",[7] To Follow-up,70%,"Still at 70%, no movement in adding applications",To assess onsite,,[C] For Training/Others,B,10-035-22-000,Tubod,Lanao del Norte,Region X (Northern Mindanao),Municipality,2nd,R10,N
[2025-01] 10-042-01-000,2025-01,2025,[01] January,"Aloran, Misamis Occidental",[2] Pilot Testing,100%,,,Processing on adding inspectors before applying,[B] Developmental,A,10-042-01-000,Aloran,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 10-018-03-000,2025-01,2025,[01] January,"Mahinog, Camiguin",[1] Operational,,,,,[A] Operational,A,10-018-03-000,Mahinog,Camiguin,Region X (Northern Mindanao),Municipality,5th,R10,N
[2025-01] 10-043-20-000,2025-01,2025,[01] January,"Naawan, Misamis Oriental",[1] Operational,,,,,[A] Operational,A,10-043-20-000,Naawan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 12-065-01-000,2025-01,2025,[01] January,"Bagumbayan, Sultan Kudarat",[3] Ongoing Data Build-up,90%,,,,[B] Developmental,B,12-065-01-000,Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-04-000,2025-01,2025,[01] January,"City of Kidapawan, Cotabato",[1] Operational,,,,,[A] Operational,A,12-047-04-000,City of Kidapawan,Cotabato,Region XII (SOCCSKSARGEN),City,3rd,R12,Q
[2025-01] 12-047-03-000,2025-01,2025,[01] January,"Kabacan, Cotabato",[1] Operational,,,,,[A] Operational,A,12-047-03-000,Kabacan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-065-06-000,2025-01,2025,[01] January,"Lebak, Sultan Kudarat",[7] To Follow-up,,URESPONSIVE,,,[C] For Training/Others,B,12-065-06-000,Lebak,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-09-000,2025-01,2025,[01] January,"Midsayap, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-09-000,Midsayap,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-12-000,2025-01,2025,[01] January,"Pikit, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-12-000,Pikit,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-11-000,2025-01,2025,[01] January,"Pigkawayan, Cotabato",[3] Ongoing Data Build-up,5%,,,,[B] Developmental,A,12-047-11-000,Pigkawayan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-10-000,2025-01,2025,[01] January,"M'Lang, Cotabato",[3] Ongoing Data Build-up,5%,,,,[B] Developmental,A,12-047-10-000,M'Lang,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 16-003-12-000,2025-01,2025,[01] January,"Trento, Agusan del Sur",[2] Pilot Testing,,,,,[B] Developmental,B,16-003-12-000,Trento,Agusan del Sur,Region XIII (Caraga),Municipality,1st,R13,O
[2025-01] 16-002-07-000,2025-01,2025,[01] January,"Las Nieves, Agusan del Norte",[1] Operational,,,,,[A] Operational,A,16-002-07-000,Las Nieves,Agusan del Norte,Region XIII (Caraga),Municipality,2nd,R13,O
[2025-01] 16-068-02-000,2025-01,2025,[01] January,"Bayabas, Surigao del Sur",[1] Operational,,,,,[A] Operational,A,16-068-02-000,Bayabas,Surigao del Sur,Region XIII (Caraga),Municipality,5th,R13,O
[2025-01] 16-068-06-000,2025-01,2025,[01] January,"Carmen, Surigao del Sur",[1] Operational,,,,,[A] Operational,A,16-068-06-000,Carmen,Surigao del Sur,Region XIII (Caraga),Municipality,5th,R13,O
[2025-01] 16-068-12-000,2025-01,2025,[01] January,"Lingig, Surigao del Sur",[7] To Follow-up,,Last Status: For Data Buildup,A notice of unutilization was served. Still waiting for response letter,,[C] For Training/Others,B,16-068-12-000,Lingig,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,O
[2025-01] 16-068-15-000,2025-01,2025,[01] January,"San Agustin, Surigao del Sur",[2] Pilot Testing,,,,,[B] Developmental,A,16-068-15-000,San Agustin,Surigao del Sur,Region XIII (Caraga),Municipality,4th,R13,O
[2025-01] 16-068-16-000,2025-01,2025,[01] January,"San Miguel, Surigao del Sur",[2] Pilot Testing,,,,,[B] Developmental,B,16-068-16-000,San Miguel,Surigao del Sur,Region XIII (Caraga),Municipality,1st,R13,O
[2025-01] 16-068-17-000,2025-01,2025,[01] January,"Tagbina, Surigao del Sur",[1] Operational,,,,,[A] Operational,A,16-068-17-000,Tagbina,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,O
[2025-01] 16-068-18-000,2025-01,2025,[01] January,"Tago, Surigao del Sur",[1] Operational,,,,,[A] Operational,B,16-068-18-000,Tago,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,O
[2025-01] 16-067-23-000,2025-01,2025,[01] January,"Socorro, Surigao del Norte",[1] Operational,,,,,[A] Operational,B,16-067-23-000,Socorro,Surigao del Norte,Region XIII (Caraga),Municipality,4th,R13,O
[2025-01] 16-067-25-000,2025-01,2025,[01] January,"Tagana-An, Surigao del Norte",[1] Operational,,,,,[A] Operational,A,16-067-25-000,Tagana-An,Surigao del Norte,Region XIII (Caraga),Municipality,5th*,R13,O
[2025-01] 16-067-27-000,2025-01,2025,[01] January,"Tubod, Surigao del Norte",[1] Operational,,,,,[A] Operational,A,16-067-27-000,Tubod,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,O
[2025-01] 19-087-13-000,2025-01,2025,[01] January,"Upi, Maguindanao del Norte",[1] Operational,,,,,[A] Operational,A,19-087-13-000,Upi,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM II,R
[2025-01] 19-066-13-000,2025-01,2025,[01] January,"Talipao, Sulu",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,19-066-13-000,Talipao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM I,M
[2025-01] 09-072-10-000,2025-01,2025,[01] January,"Polanco, Zamboanga del Norte",[1] Operational,,,,,[A] Operational,A,09-072-10-000,Polanco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,L
[2025-01] 09-072-11-000,2025-01,2025,[01] January,"Pres. Manuel A. Roxas, Zamboanga del Norte",[2] Pilot Testing,75%,,,,[B] Developmental,B,09-072-11-000,Pres. Manuel A. Roxas,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,L
[2025-01] 09-072-12-000,2025-01,2025,[01] January,"Rizal, Zamboanga del Norte",[2] Pilot Testing,25%,,,,[B] Developmental,B,09-072-12-000,Rizal,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,5th,R9,L
[2025-01] 09-072-15-000,2025-01,2025,[01] January,"Siayan, Zamboanga del Norte",[1] Operational,,,,,[A] Operational,B,09-072-15-000,Siayan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,L
[2025-01] 09-072-18-000,2025-01,2025,[01] January,"Sindangan, Zamboanga del Norte",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-072-18-000,Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,1st,R9,L
[2025-01] 09-073-08-000,2025-01,2025,[01] January,"Dumingag, Zamboanga del Sur",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-073-08-000,Dumingag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,L
[2025-01] 09-073-43-000,2025-01,2025,[01] January,"Guipos, Zamboanga del Sur",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-073-43-000,Guipos,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,L
[2025-01] 09-073-12-000,2025-01,2025,[01] January,"Labangan, Zamboanga del Sur",[6] With Concerns,,Understaff,,,[C] For Training/Others,B,09-073-12-000,Labangan,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,L
[2025-01] 09-073-33-000,2025-01,2025,[01] January,"Lakewood, Zamboanga del Sur",[2] Pilot Testing,75%,,,,[B] Developmental,B,09-073-33-000,Lakewood,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,L
[2025-01] 09-073-25-000,2025-01,2025,[01] January,"San Pablo, Zamboanga del Sur",[2] Pilot Testing,75%,,,,[B] Developmental,B,09-073-25-000,San Pablo,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th*,R9,L
