LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
04-010-01-000,04-10-01-000,"Agoncillo, Batangas",Agoncillo,Batangas,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,#REF!,#REF!,https://bpbc.ibpls.com/agoncillobatangas,https://prod.ebpls.com/agoncillobatangas,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-01-000,01-33-01-000,"Agoo, La Union",Agoo,La Union,Region I (Ilocos Region),Municipality,1st,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/agoolaunion,https://prod.ebpls.com/agoolaunion,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-02-000,01-55-02-000,"Aguilar, Pangasinan",Aguilar,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/aguilarpangasinan,https://prod.ebpls.com/aguilarpangasinan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14-027-08-000,14-27-08-000,"Aguinaldo, Ifugao",Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,A,B,#REF!,#REF!,https://bpbc.ibpls.com/aguinaldoifugao,https://prod.ebpls.com/aguinaldoifugao,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-01-000,06-30-01-000,"Ajuy, Iloilo",Ajuy,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/ajuyiloilo,https://prod.ebpls.com/ajuyiloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-056-02-000,04-56-02-000,"Alabat, Quezon",Alabat,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/alabatquezon,https://prod.ebpls.com/alabatquezon,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-080-01-000,12-80-01-000,"Alabel, Sarangani",Alabel,Sarangani,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/alabelsarangani,https://prod.ebpls.com/alabelsarangani,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-047-01-000,12-47-01-000,"Alamada, Cotabato",Alamada,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/alamadacotabato,https://prod.ebpls.com/alamadacotabato,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-02-000,08-37-02-000,"Alangalang, Leyte",Alangalang,Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/alangalangleyte,https://prod.ebpls.com/alangalangleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-03-000,08-37-03-000,"Albuera, Leyte",Albuera,Leyte,Region VIII (Eastern Visayas),Municipality,3rd*,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/albueraleyte,https://prod.ebpls.com/albueraleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-01-000,07-22-01-000,"Alcantara, Cebu",Alcantara,Cebu,Region VII (Central Visayas),Municipality,5th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/alcantaracebu,https://prod.ebpls.com/alcantaracebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-059-01-000,17-59-01-000,"Alcantara, Romblon",Alcantara,Romblon,MIMAROPA Region,Municipality,5th,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/alcantararomblon,https://prod.ebpls.com/alcantararomblon,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-02-000,07-22-02-000,"Alcoy, Cebu",Alcoy,Cebu,Region VII (Central Visayas),Municipality,5th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/alcoycebu,https://prod.ebpls.com/alcoycebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-03-000,07-22-03-000,"Alegria, Cebu",Alegria,Cebu,Region VII (Central Visayas),Municipality,4th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/alegriacebu,https://prod.ebpls.com/alegriacebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-067-01-000,16-67-01-000,"Alegria, Surigao del Norte",Alegria,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/alegriasurigaodelnorte,https://prod.ebpls.com/alegriasurigaodelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-047-17-000,12-47-17-000,"Aleosan, Cotabato",Aleosan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,3rd,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/aleosancotabato,https://prod.ebpls.com/aleosannorthcotabato/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-050-15-000,02-50-15-000,"Alfonso Castaneda, Nueva Vizcaya",Alfonso Castaneda,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/alfonsocastanedanuevavizcaya,https://prod.ebpls.com/alfonsocastanedanuevavizcaya,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14-027-07-000,14-27-07-000,"Alfonso Lista, Ifugao",Alfonso Lista,Ifugao,Cordillera Administrative Region (CAR),Municipality,3rd,CAR,A,B,#REF!,#REF!,https://bpbc.ibpls.com/alfonsolistaifugao,https://prod.ebpls.com/alfonsolistaifugao,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-012-03-000,07-12-03-000,"Anda, Bohol",Anda,Bohol,Region VII (Central Visayas),Municipality,5th,R7,B,J,#REF!,#REF!,,NO INSTANCE,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-021-01-000,04-21-01-000,"Alfonso, Cavite",Alfonso,Cavite,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#REF!,#REF!,https://bpbc.ibpls.com/alfonsocavite,https://prod.ebpls.com/alfonsocavite,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-049-01-000,03-49-01-000,"Aliaga, Nueva Ecija",Aliaga,Nueva Ecija,Region III (Central Luzon),Municipality,2nd,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/aliaganuevaecija,https://prod.ebpls.com/aliaganuevaecija,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-01-000,02-31-01-000,"Alicia, Isabela",Alicia,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#REF!,#REF!,https://bpbc.ibpls.com/aliciaisabela,https://prod.ebpls.com/aliciaisabela,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-02-000,06-30-02-000,"Alimodian, Iloilo",Alimodian,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/alimodianiloilo,https://prod.ebpls.com/alimodianiloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-010-02-000,04-10-02-000,"Alitagtag, Batangas",Alitagtag,Batangas,Region IV-A (CALABARZON),Municipality,4th,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/alitagtagbatangas,https://prod.ebpls.com/alitagtagbatangas,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-03-000,02-15-03-000,"Allacapan, Cagayan",Allacapan,Cagayan,Region II (Cagayan Valley),Municipality,3rd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/allacapancagayan,https://prod.ebpls.com/allacapancagayan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-078-01-000,08-78-01-000,"Almeria, Biliran",Almeria,Biliran,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#REF!,#REF!,https://bpbc.ibpls.com/almeriabiliran,https://prod.ebpls.com/almeriabiliran,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-04-000,07-22-04-000,"Aloguinsan, Cebu",Aloguinsan,Cebu,Region VII (Central Visayas),Municipality,4th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/aloguinsancebu,https://prod.ebpls.com/aloguinsancebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-042-01-000,10-42-01-000,"Aloran, Misamis Occidental",Aloran,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/aloranmisamisoccidental,https://prod.ebpls.com/aloranmisamisoccidental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-043-01-000,10-43-01-000,"Alubijid, Misamis Oriental",Alubijid,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#REF!,#REF!,https://bpbc.ibpls.com/alubijidmisamisoriental,https://prod.ebpls.com/alubijidmisamisoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-021-02-000,04-21-02-000,"Amadeo, Cavite",Amadeo,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/amadeocavite,https://prod.ebpls.com/amadeocavite,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-050-01-000,02-50-01-000,"Ambaguio, Nueva Vizcaya",Ambaguio,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,5th,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/ambaguionuevavizcaya,https://prod.ebpls.com/ambaguionuevavizcaya,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
