REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
2026-01,2026,[01] January,"Ivisan, Capiz",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Jamindan, Capiz",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Janiuay, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Jordan, Guimaras",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Lambunao, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Laua-An, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Leganes, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Leon, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Lezo, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Libacao, Aklan",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Alabel, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Alamada, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Aleosan, Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"Antipas, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Arakan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Banga, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Banisilan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Carmen, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"City of Kidapawan, Cotabato",[1] Live,[A] Live,3rd,City,3rd,R12,v1
2026-01,2026,[01] January,"City of Tacurong, Sultan Kudarat",[8] Withdraw,[D] Withdraw,4th,City,4th,R12,
2026-01,2026,[01] January,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Esperanza, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Glan, Sarangani",[6] With Concerns,[C] For Training/Others,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Isulan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kalamansig, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kiamba, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Lebak, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Libungan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"M'Lang, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Maasim, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Magpet, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Maitum, Sarangani",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Malungon, Sarangani",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R12,
2026-01,2026,[01] January,"Matalam, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Midsayap, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Palimbang, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Polomolok, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"President Quirino, Sultan Kudarat",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"President Roxas, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Santo Niño, South Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"Sen. Ninoy Aquino, Sultan Kudarat",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"Surallah, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"T'Boli, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Tampakan, South Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Tantangan, South Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"Tulunan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Tupi, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Alegria, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Bayabas, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Buenavista, Agusan del Norte",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Burgos, Surigao del Norte",[1] Live,[A] Live,6th,Mun,6th,R13,v1
2026-01,2026,[01] January,"Cagdianao, Dinagat Islands",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-01,2026,[01] January,"Cagwait, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Cantilan, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Carmen, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"City of Cabadbaran, Agusan del Norte",[1] Live,[A] Live,6th,City,6th,R13,v1
2026-01,2026,[01] January,"City of Surigao, Surigao del Norte",[1] Live,[A] Live,3rd,City,3rd,R13,v1
2026-01,2026,[01] January,"City of Tandag, Surigao del Sur",[1] Live,[A] Live,5th,City,5th,R13,v1
2026-01,2026,[01] January,"Cortes, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Del Carmen, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Dinagat, Dinagat Islands",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"General Luna, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Gigaquit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Hinatuan, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Kitcharao, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Lanuza, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Lianga, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Lingig, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Madrid, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Magallanes, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Mainit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Marihatag, Surigao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-01,2026,[01] January,"Remedios T. Romualdez, Agusan del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"San Agustin, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"San Francisco, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"San Isidro, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"San Jose, Dinagat Islands",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"San Miguel, Surigao del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Santa Josefa, Agusan del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-01,2026,[01] January,"Santiago, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Sison, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Socorro, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Tagana-An, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Tagbina, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Tago, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Trento, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Tubajon, Dinagat Islands",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Tubod, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Aborlan, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Abra De Ilog, Occidental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Alcantara, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Baco, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Bansud, Oriental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Banton, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Bataraza, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Bongabong, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Brooke's Point, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Buenavista, Marinduque",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Bulalacao, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Busuanga, Palawan",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Cagayancillo, Palawan",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
2026-01,2026,[01] January,"Cajidiocan, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Calatrava, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Calintaan, Occidental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Concepcion, Romblon",[8] Withdraw,[D] Withdraw,6th,Mun,6th,R4B,
2026-01,2026,[01] January,"Coron, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Culion, Palawan",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"El Nido, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Ferrol, Romblon",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
2026-01,2026,[01] January,"Gloria, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Kalayaan, Palawan",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Looc, Occidental Mindoro",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Looc, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Lubang, Occidental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Magsaysay, Occidental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Mamburao, Occidental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Mansalay, Oriental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Mogpog, Marinduque",[6] With Concerns,[C] For Training/Others,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Narra, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Naujan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Paluan, Occidental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Pinamalayan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Pola, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Puerto Galera, Oriental Mindoro",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R4B,
2026-01,2026,[01] January,"Quezon, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Rizal, Occidental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Rizal, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Roxas, Oriental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Roxas, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Sablayan, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Andres, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"San Fernando, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"San Jose, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Jose, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"San Teodoro, Oriental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"San Vicente, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Santa Cruz, Marinduque",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Santa Cruz, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Santa Fe, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Socorro, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Taytay, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Aurora, Zamboanga del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Bayog, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Bongao, Tawi-Tawi",[1] Live,[A] Live,2nd,Mun,2nd,BARMM I,v1
2026-01,2026,[01] January,"Buug, Zamboanga Sibugay",[8] Withdraw,[D] Withdraw,3rd,Mun,3rd,R9,
2026-01,2026,[01] January,"City of Dipolog, Zamboanga del Norte",[8] Withdraw,[D] Withdraw,3rd,City,3rd,R9,
2026-01,2026,[01] January,"City of Isabela, Basilan",[1] Live,[A] Live,4th,City,4th,R9,v1
2026-01,2026,[01] January,"City of Lamitan, Basilan",[1] Live,[A] Live,6th,City,6th,BARMM I,v1
2026-01,2026,[01] January,"Dimataling, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Dinas, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Diplahan, Zamboanga Sibugay",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Dumalinao, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Dumingag, Zamboanga del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Godod, Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Guipos, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Gutalac, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Imelda, Zamboanga Sibugay",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Ipil, Zamboanga Sibugay",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R9,
2026-01,2026,[01] January,"Jolo, Sulu",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,BARMM I,v1
2026-01,2026,[01] January,"Jose Dalman, Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Josefina, Zamboanga del Sur",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Kabasalan, Zamboanga Sibugay",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Kalawit, Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Katipunan, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Kumalarang, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"La Libertad, Zamboanga del Norte",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Labangan, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Labason, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Lakewood, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Lantawan, Basilan",[1] Live,[A] Live,3rd,Mun,3rd,BARMM I,v1
2026-01,2026,[01] January,"Lapuyan, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Leon B. Postigo (Bacungan), Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Liloy, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Mahayag, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Malangas, Zamboanga Sibugay",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Manukan, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Margosatubig, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Midsalip, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Molave, Zamboanga del Sur",[1] Live,[A] Live,1st,Mun,1st,R9,with v1 v2
2026-01,2026,[01] January,"Mutia, Zamboanga del Norte",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Naga, Zamboanga Sibugay",[7] To Follow-up,[C] For Training/Others,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Payao, Zamboanga Sibugay",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Piñan, Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Pitogo, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Polanco, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Pres. Manuel A. Roxas, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Ramon Magsaysay, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Rizal, Zamboanga del Norte",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Roseller Lim, Zamboanga Sibugay",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Salug, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"San Miguel, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"San Pablo, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Siay, Zamboanga Sibugay",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Siayan, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,with v1 v2
2026-01,2026,[01] January,"Sibuco, Zamboanga del Norte",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,R9,v1
2026-01,2026,[01] January,"Sibutad, Zamboanga del Norte",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Sindangan, Zamboanga del Norte",[1] Live,[A] Live,1st,Mun,1st,R9,v1
2026-01,2026,[01] January,"Siocon, Zamboanga del Norte",[1] Live,[A] Live,1st,Mun,1st,R9,v1
2026-01,2026,[01] January,"Sominot, Zamboanga del Sur",[7] To Follow-up,[C] For Training/Others,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Sumisip, Basilan",[1] Live,[A] Live,1st,Mun,1st,BARMM I,v1
2026-01,2026,[01] January,"Tabina, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
