2026-01,2026,[01] January,"Pototan, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"San Joaquin, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"San Miguel, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"San Remigio, Antique",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Santa Barbara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Sapi-An, Capiz",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Sara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Sebaste, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Sibalom, Antique",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Tangalan, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Tapaz, Capiz",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Tibiao, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Valderrama, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Zarraga, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Alabel, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Aleosan, Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Banisilan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"City of Kidapawan, Cotabato",[1] Live,[A] Live,3rd,City,3rd,R12,v1
2026-01,2026,[01] January,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kalamansig, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kiamba, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Lebak, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"M'Lang, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Maasim, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Midsayap, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Palimbang, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Polomolok, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"President Roxas, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Sen. Ninoy Aquino, Sultan Kudarat",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"T'Boli, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Tampakan, South Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Tantangan, South Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-01,2026,[01] January,"Tupi, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Alegria, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Bayabas, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Buenavista, Agusan del Norte",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Burgos, Surigao del Norte",[1] Live,[A] Live,6th,Mun,6th,R13,v1
2026-01,2026,[01] January,"Cagdianao, Dinagat Islands",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-01,2026,[01] January,"Cagwait, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Carmen, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"City of Cabadbaran, Agusan del Norte",[1] Live,[A] Live,6th,City,6th,R13,v1
2026-01,2026,[01] January,"City of Tandag, Surigao del Sur",[1] Live,[A] Live,5th,City,5th,R13,v1
2026-01,2026,[01] January,"Cortes, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Del Carmen, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Dinagat, Dinagat Islands",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"General Luna, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Gigaquit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Hinatuan, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Kitcharao, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Mainit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Marihatag, Surigao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-01,2026,[01] January,"Remedios T. Romualdez, Agusan del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"San Agustin, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"San Isidro, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"San Jose, Dinagat Islands",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"San Miguel, Surigao del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Santa Josefa, Agusan del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-01,2026,[01] January,"Santiago, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Sison, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Socorro, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Tagana-An, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Tagbina, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Tago, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Trento, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Tubod, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Aborlan, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Abra De Ilog, Occidental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Alcantara, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Baco, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Banton, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Bongabong, Oriental Mindoro",[2] System Setup,[B] Developmental,1st,Mun,1st,R4B,
2026-01,2026,[01] January,"Brooke'S Point, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Bulalacao, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Busuanga, Palawan",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Calatrava, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Calintaan, Occidental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Coron, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Culion, Palawan",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Ferrol, Romblon",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
2026-01,2026,[01] January,"Gloria, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Looc, Occidental Mindoro",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Looc, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Lubang, Occidental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Magsaysay, Occidental Mindoro",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Mamburao, Occidental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Narra, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Naujan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Pinamalayan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Quezon, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Rizal, Occidental Mindoro",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R4B,
2026-01,2026,[01] January,"Rizal, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Sablayan, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Andres, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"San Fernando, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"San Jose, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Jose, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"San Teodoro, Oriental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"San Vicente, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Santa Cruz, Marinduque",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Santa Cruz, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Santa Fe, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Socorro, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Bongao, Tawi-Tawi",[1] Live,[A] Live,2nd,Mun,2nd,BARMM I,v1
2026-01,2026,[01] January,"City of Isabela, Basilan",[1] Live,[A] Live,4th,City,4th,R9,v1
2026-01,2026,[01] January,"City of Lamitan, Basilan",[1] Live,[A] Live,6th,City,6th,BARMM I,v1
2026-01,2026,[01] January,"Dimataling, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Diplahan, Zamboanga Sibugay",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Dumalinao, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Guipos, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Gutalac, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Josefina, Zamboanga del Sur",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Kabasalan, Zamboanga Sibugay",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Labason, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Leon B. Postigo (Bacungan), Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Mahayag, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Molave, Zamboanga del Sur",[1] Live,[A] Live,1st,Mun,1st,R9,with v1 v2
2026-01,2026,[01] January,"Polanco, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Ramon Magsaysay, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Salug, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"San Pablo, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Siayan, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,with v1 v2
2026-01,2026,[01] January,"Sindangan, Zamboanga del Norte",[1] Live,[A] Live,1st,Mun,1st,R9,v1
2026-01,2026,[01] January,"Talipao, Sulu",[1] Live,[A] Live,1st,Mun,1st,BARMM I,v1
2026-01,2026,[01] January,"Tambulig, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Tampilisan, Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Tigbao, Zamboanga del Sur",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"Ampatuan, Maguindanao del Sur",[1] Live,[A] Live,4th,Mun,4th,BARMM II,v1
2026-01,2026,[01] January,"Datu Abdullah Sangki, Maguindanao del Sur",[1] Live,[A] Live,-,Mun,-,BARMM II,v1
2026-01,2026,[01] January,"Datu Anggal Midtimbang, Maguindanao del Sur",[2] System Setup,[B] Developmental,-,Mun,-,BARMM II,
2026-01,2026,[01] January,"Datu Paglas, Maguindanao del Sur",[1] Live,[A] Live,4th,Mun,4th,BARMM II,v1
2026-01,2026,[01] January,"Datu Piang, Maguindanao del Sur",[2] System Setup,[B] Developmental,2nd,Mun,2nd,BARMM II,
2026-01,2026,[01] January,"Northern Kabuntalan, Maguindanao del Norte",[2] System Setup,[B] Developmental,5th,Mun,5th,BARMM II,
2026-01,2026,[01] January,"Pagalungan, Maguindanao del Sur",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Parang, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Shariff Aguak, Maguindanao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,BARMM II,v1
2026-01,2026,[01] January,"Sultan Kudarat, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Talayan, Maguindanao del Sur",[1] Live,[A] Live,4th,Mun,4th,BARMM II,v1
2026-01,2026,[01] January,"Upi, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Agoncillo, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Alabat, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Alfonso, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Alitagtag, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Calauag, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Calauan, Laguna",[1] Live,[A] Live,2nd,Mun,2nd,R4A,v1
2026-01,2026,[01] January,"Cardona, Rizal",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Gumaca, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Infanta, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Lobo, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Lopez, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Lumban, Laguna",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Magallanes, Cavite",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Mataasnakahoy, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Naic, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Noveleta, Cavite",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Paete, Laguna",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Rizal, Laguna",[1] Live,[A] Live,5th,Mun,5th,R4A,with v1 v2
2026-01,2026,[01] January,"Sampaloc, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"San Nicolas, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"San Pascual, Batangas",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Santa Teresita, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Siniloan, Laguna",[1] Live,[A] Live,2nd,Mun,2nd,R4A,v1
2026-01,2026,[01] January,"Tanza, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Aguinaldo, Ifugao",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-01,2026,[01] January,"Alfonso Lista, Ifugao",[1] Live,[A] Live,3rd,Mun,3rd,CAR,v1
2026-01,2026,[01] January,"Asipulo, Ifugao",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Banaue, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Bauko, Mountain Province",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Bontoc, Mountain Province",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-01,2026,[01] January,"City of Tabuk, Kalinga",[1] Live,[A] Live,5th,City,5th,CAR,v1
2026-01,2026,[01] January,"Danglas, Abra",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Dolores, Abra",[1] Live,[A] Live,5th,Mun,5th,CAR,with v1 v2
2026-01,2026,[01] January,"Hungduan, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Lamut, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Luna, Apayao",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-01,2026,[01] January,"Mankayan, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-01,2026,[01] January,"Mayoyao, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Paracelis, Mountain Province",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-01,2026,[01] January,"Peñarrubia, Abra",[1] Live,[A] Live,6th,Mun,6th,CAR,v1
2026-01,2026,[01] January,"Pudtol, Apayao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Sablan, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Santa Marcela, Apayao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Tayum, Abra",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Tuba, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-01,2026,[01] January,"Tublay, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Tinoc, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Anao, Tarlac",[1] Live,[A] Live,5th,Mun,5th,R3,v1
2026-01,2026,[01] January,"Apalit, Pampanga",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Arayat, Pampanga",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Bacolor, Pampanga",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Baler, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Bongabon, Nueva Ecija",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Botolan, Zambales",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Bustos, Bulacan",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Camiling, Tarlac",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Casiguran, Aurora",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Castillejos, Zambales",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"City of Palayan, Nueva Ecija",[2] System Setup,[B] Developmental,5th,City,5th,R3,
2026-01,2026,[01] January,"City of San Jose Del Monte, Bulacan",[1] Live,[A] Live,1st,City,1st,R3,v1
2026-01,2026,[01] January,"Cuyapo, Nueva Ecija",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Dingalan, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Dipaculao, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
