,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Sindangan, Zamboanga del Norte",2021,2022-12,,,09-072-18-000,09-72-18-000,Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,1st,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tampilisan, Zamboanga del Norte",2021,2022-12,07/12/2021,07/12/2021,09-072-21-000,09-72-21-000,Tampilisan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,4th,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gutalac, Zamboanga del Norte",2021,2022-12,04/26/2021,04/26/2021,09-072-23-000,09-72-23-000,Gutalac,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dumalinao, Zamboanga del Sur",2022,2022-12,,,09-073-07-000,09-73-07-000,Dumalinao,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mahayag, Zamboanga del Sur",2023,2023-01,,,09-073-15-000,09-73-15-000,Mahayag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,3rd*,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Molave, Zamboanga del Sur",2021,2022-12,,,09-073-19-000,09-73-19-000,Molave,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,1st,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Ramon Magsaysay, Zamboanga del Sur",2021,2022-12,05/04/2021,05/04/2021,09-073-23-000,09-73-23-000,Ramon Magsaysay,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th*,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tambulig, Zamboanga del Sur",2023,2023-01,,,09-073-28-000,09-73-28-000,Tambulig,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th*,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Guipos, Zamboanga del Sur",,,,,09-073-43-000,09-73-43-000,Guipos,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tigbao, Zamboanga del Sur",,,,,09-073-44-000,09-73-44-000,Tigbao,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,5th*,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Diplahan, Zamboanga Sibugay",2021,2022-12,,,09-083-03-000,09-83-03-000,Diplahan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kabasalan, Zamboanga Sibugay",2022,2022-12,,,09-083-06-000,09-83-06-000,Kabasalan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Talipao, Sulu",2021,2022-12,07/26/2021,07/26/2021,19-066-13-000,15-66-13-000,Talipao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM I,A,M,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bongao, Tawi-Tawi",2021,2022-12,,,19-070-02-000,15-70-02-000,Bongao,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,2nd,BARMM I,A,M,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Isabela, Basilan",,,,,09-901-01-000,09-97-01-000,City of Isabela,Basilan,Region IX (Zamboanga Peninsula),City,4th,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Lamitan, Basilan",2022,2022-12,,,19-007-02-000,15-07-02-000,City of Lamitan,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),City,6th,BARMM I,A,M,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Josefina, Zamboanga del Sur",2023,2023-01,,,09-073-37-000,09-73-37-000,Josefina,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,5th*,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Leon B. Postigo (Bacungan), Zamboanga del Norte",2023,2023-04,,,09-072-26-000,09-72-26-000,Leon B. Postigo (Bacungan),Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,4th,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Salug, Zamboanga del Norte",2022,2022-12,,,09-072-13-000,09-72-13-000,Salug,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Siayan, Zamboanga del Norte",2023,2023-01,,,09-072-15-000,09-72-15-000,Siayan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dimataling, Zamboanga del Sur",2022,2022-12,06/21/2021,06/21/2021,09-073-05-000,09-73-05-000,Dimataling,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Pablo, Zamboanga del Sur",2021,2022-12,,,09-073-25-000,09-73-25-000,San Pablo,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,4th*,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Upi, Maguindanao del Norte",2022,2022-12,,,19-087-13-000,15-38-15-000,Upi,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM II,A,R,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,18 Barangay to Integrate,[1] Operational,[A] Operational,6 Barangays Clearance has been Integrated in the system out of 23 barangays,[1] Operational,[A] Operational,6 Barangays Clearance has been Integrated in the system out of 23 barangays,[1] Operational,[A] Operational,6 Barangays Clearance has been Integrated in the system out of 23 barangays,[1] Operational,[A] Operational,6 Barangays Clearance has been Integrated in the system out of 23 barangays,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Parang, Maguindanao del Norte",2021,2022-12,,,19-087-09-000,15-38-11-000,Parang,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st*,BARMM II,A,R,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,19 Barangay to Integrate,[1] Operational,[A] Operational,20 Barangay Clearance has been integrated in the system out of 25 barangays,[1] Operational,[A] Operational,20 Barangay Clearance has been integrated in the system out of 25 barangays,[1] Operational,[A] Operational,20 Barangay Clearance has been integrated in the system out of 25 barangays,[1] Operational,[A] Operational,20 Barangay Clearance has been integrated in the system out of 25 barangays,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Datu Paglas, Maguindanao del Sur",2022,2022-12,,,19-088-06-000,15-38-05-000,Datu Paglas,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,4th,BARMM II,A,R,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,20 Barangay to Integrate,[1] Operational,[A] Operational,14 Barangays Clearance has been integrated in the system out of 23 barangays,[1] Operational,[A] Operational,14 Barangays Clearance has been integrated in the system out of 23 barangays,[1] Operational,[A] Operational,14 Barangays Clearance has been integrated in the system out of 23 barangays,[1] Operational,[A] Operational,14 Barangays Clearance has been integrated in the system out of 23 barangays,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Cabadbaran, Agusan del Norte",2023,2023-06,,,16-002-03-000,16-02-03-000,City of Cabadbaran,Agusan del Norte,Region XIII (Caraga),City,6th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Las Nieves, Agusan del Norte",2023,2023-01,,,16-002-07-000,16-02-07-000,Las Nieves,Agusan del Norte,Region XIII (Caraga),Municipality,2nd,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Agustin, Surigao del Sur",2022,2022-12,,,16-068-15-000,16-68-15-000,San Agustin,Surigao del Sur,Region XIII (Caraga),Municipality,4th,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Dinagat Islands",2023,2023-01,,,16-085-06-000,16-85-06-000,San Jose,Dinagat Islands,Region XIII (Caraga),Municipality,4th*,R13,B,O,#N/A,#N/A,[3] With Concerns,[A] Operational,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tagana-An, Surigao del Norte",,,,,16-067-25-000,16-67-25-000,Tagana-An,Surigao del Norte,Region XIII (Caraga),Municipality,5th*,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tago, Surigao del Sur",2022,2022-12,,,16-068-18-000,16-68-18-000,Tago,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Tandag, Surigao del Sur",2021,2022-12,,,16-068-19-000,16-68-19-000,City of Tandag,Surigao del Sur,Region XIII (Caraga),City,5th,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Josefa, Agusan del Sur",2021,2022-12,,,16-003-10-000,16-03-10-000,Santa Josefa,Agusan del Sur,Region XIII (Caraga),Municipality,3rd,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Trento, Agusan del Sur",2022,2022-12,,,16-003-12-000,16-03-12-000,Trento,Agusan del Sur,Region XIII (Caraga),Municipality,1st,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alegria, Surigao del Norte",2023,2023-01,,,16-067-01-000,16-67-01-000,Alegria,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dinagat, Dinagat Islands",2022,2022-12,,,16-085-03-000,16-85-03-000,Dinagat,Dinagat Islands,Region XIII (Caraga),Municipality,5th,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Remedios T. Romualdez, Agusan del Norte",2023,2023-01,,,16-002-12-000,16-02-12-000,Remedios T. Romualdez,Agusan del Norte,Region XIII (Caraga),Municipality,5th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
