,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Laoac, Pangasinan",,,,,,01-055-48-000,01-55-48-000,"Laoac, Pangasinan",Laoac,Pangasinan,Region I (Ilocos Region),Municipality,4th,R1,B,C,2020,https://bldg.ibpls.com/laoacpangasinan/,https://co.ibpls.com/laoacpangasinan/,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Batac, Ilocos Norte",,,,,,01-028-05-000,01-28-05-000,"City of Batac, Ilocos Norte",City of Batac,Ilocos Norte,Region I (Ilocos Region),City,5th,R1,B,C,2023,https://bldg.ibpls.com/batacilocosnorte/,https://co.ibpls.com/batacilocosnorte/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Catarman, Camiguin",,,,,,10-018-01-000,10-18-01-000,"Catarman, Camiguin",Catarman,Camiguin,Region X (Northern Mindanao),Municipality,5th,R10,B,N,2022,https://bldg.ibpls.com/catarmancamiguin,https://co.ibpls.com/catarmancamiguin,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,Waitng for clients to resubmit complete docs,[2] Pilot Testing,[B] Developmental,Still waitng for actual client(s) to resubmit complete docs,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bacolod, Lanao del Norte",,,,,,10-035-01-000,10-35-01-000,"Bacolod, Lanao del Norte",Bacolod,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,B,N,2021,https://bldg.ibpls.com/bacolodlanaodelnorte/,https://co.ibpls.com/bacolodlanaodelnorte/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kapatagan, Lanao del Norte",,,,,,10-035-05-000,10-35-05-000,"Kapatagan, Lanao del Norte",Kapatagan,Lanao del Norte,Region X (Northern Mindanao),Municipality,2nd,R10,A,N,2020,https://bldg.ibpls.com/kapataganlanaodelnorte/,https://co.ibpls.com/kapataganlanaodelnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Maigo, Lanao del Norte",,,,,,10-035-12-000,10-35-12-000,"Maigo, Lanao del Norte",Maigo,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,A,N,2022,https://bldg.ibpls.com/maigolanaodelnorte/,https://co.ibpls.com/maigolanaodelnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tubod, Lanao del Norte",,,,,,10-035-22-000,10-35-22-000,"Tubod, Lanao del Norte",Tubod,Lanao del Norte,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,2021,https://bldg.ibpls.com/tubodlanaodelnorte,https://co.ibpls.com/tubodlanaodelnorte,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bonifacio, Misamis Occidental",,,,,,10-042-03-000,10-42-03-000,"Bonifacio, Misamis Occidental",Bonifacio,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,2021,https://bldg.ibpls.com/bonifaciomisamisoccidental,https://co.ibpls.com/bonifaciomisamisoccidental,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[2] Pilot Testing,[B] Developmental,Conducted Refresher's Training on May 15-16,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Calamba, Misamis Occidental",,,,,,10-042-04-000,10-42-04-000,"Calamba, Misamis Occidental",Calamba,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,2020,https://bldg.ibpls.com/calambamisamisoccidental/,https://co.ibpls.com/calambamisamisoccidental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Plaridel, Misamis Occidental",,,,,,10-042-12-000,10-42-12-000,"Plaridel, Misamis Occidental",Plaridel,Misamis Occidental,Region X (Northern Mindanao),Municipality,3rd,R10,A,N,2020,https://bldg.ibpls.com/plaridelmisamisoccidental/,https://co.ibpls.com/plaridelmisamisoccidental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sinacaban, Misamis Occidental",,,,,,10-042-14-000,10-42-14-000,"Sinacaban, Misamis Occidental",Sinacaban,Misamis Occidental,Region X (Northern Mindanao),Municipality,5th,R10,A,N,2022,https://bldg.ibpls.com/sinacabanmisamisoccidental/,https://co.ibpls.com/sinacabanmisamisoccidental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Claveria, Misamis Oriental",,,,,,10-043-06-000,10-43-06-000,"Claveria, Misamis Oriental",Claveria,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,A,N,2022,https://bldg.ibpls.com/claveriamisamisoriental/,https://co.ibpls.com/claveriamisamisoriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Gingoog, Misamis Oriental",,,,,,10-043-08-000,10-43-08-000,"City of Gingoog, Misamis Oriental",City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),City,2nd,R10,A,N,2022,https://bldg.ibpls.com/gingoogmisamisoriental/,https://co.ibpls.com/gingoogmisamisoriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jasaan, Misamis Oriental",,,,,,10-043-11-000,10-43-11-000,"Jasaan, Misamis Oriental",Jasaan,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,2021,https://bldg.ibpls.com/jasaanmisamisoriental,https://co.ibpls.com/jasaanmisamisoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lagonglong, Misamis Oriental",,,,,,10-043-13-000,10-43-13-000,"Lagonglong, Misamis Oriental",Lagonglong,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,A,N,2022,https://bldg.ibpls.com/lagonglongmisamisoriental/,https://co.ibpls.com/lagonglongmisamisoriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Libertad, Misamis Oriental",,,,,,10-043-15-000,10-43-15-000,"Libertad, Misamis Oriental",Libertad,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,B,N,2021,https://bldg.ibpls.com/libertadmisamisoriental,https://co.ibpls.com/libertadmisamisoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Manticao, Misamis Oriental",,,,,,10-043-18-000,10-43-18-000,"Manticao, Misamis Oriental",Manticao,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,2021,https://bldg.ibpls.com/manticaomisamisoriental/,https://co.ibpls.com/manticaomisamisoriental/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Salay, Misamis Oriental",,,,,,10-043-22-000,10-43-22-000,"Salay, Misamis Oriental",Salay,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,2020,https://bldg.ibpls.com/salaymisamisoriental/,https://co.ibpls.com/salaymisamisoriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tagoloan, Misamis Oriental",,,,,,10-043-24-000,10-43-24-000,"Tagoloan, Misamis Oriental",Tagoloan,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,B,N,2021,https://bldg.ibpls.com/tagoloanmisamisoriental,https://co.ibpls.com/tagoloanmisamisoriental,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Talisayan, Misamis Oriental",,,,,,10-043-25-000,10-43-25-000,"Talisayan, Misamis Oriental",Talisayan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,2022,https://bldg.ibpls.com/talisayanmisamisoriental,https://co.ibpls.com/talisayanmisamisoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Clarin, Misamis Occidental",,,,,,10-042-05-000,10-42-05-000,"Clarin, Misamis Occidental",Clarin,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,Scheduled in June,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,"Scheduled in July, waiting for Opex SARO",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Tangub, Misamis Occidental",,,,,,10-042-15-000,10-42-15-000,"City of Tangub, Misamis Occidental",City of Tangub,Misamis Occidental,Region X (Northern Mindanao),City,4th,R10,B,N,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Malalag, Davao del Sur",,,,,,11-024-08-000,11-24-08-000,"Malalag, Davao del Sur",Malalag,Davao del Sur,Region XI (Davao Region),Municipality,2nd,R11,A,P,2022,https://bldg.ibpls.com/malalagdavaodelsur/,https://co.ibpls.com/malalagdavaodelsur/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sulop, Davao del Sur",,,,,,11-024-14-000,11-24-14-000,"Sulop, Davao del Sur",Sulop,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,A,P,2021,https://bldg.ibpls.com/sulopdavaodelsur/,https://co.ibpls.com/sulopdavaodelsur/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Boston, Davao Oriental",,,,,,11-025-03-000,11-25-03-000,"Boston, Davao Oriental",Boston,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,A,P,2022,https://bldg.ibpls.com/bostondavaooriental/,https://co.ibpls.com/bostondavaooriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cateel, Davao Oriental",,,,,,11-025-05-000,11-25-05-000,"Cateel, Davao Oriental",Cateel,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,A,P,2022,https://bldg.ibpls.com/cateeldavaooriental/,https://co.ibpls.com/cateeldavaooriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lupon, Davao Oriental",,,,,,11-025-07-000,11-25-07-000,"Lupon, Davao Oriental",Lupon,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,B,P,2022,https://bldg.ibpls.com/lupondavaooriental/,https://co.ibpls.com/lupondavaooriental/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Manay, Davao Oriental",,,,,,11-025-08-000,11-25-08-000,"Manay, Davao Oriental",Manay,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,A,P,2021,https://bldg.ibpls.com/manaydavaooriental/,https://co.ibpls.com/manaydavaooriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
