REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
2026-01,2026,[01] January,"Mina, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"New Lucena, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"New Washington, Aklan",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Oton, Iloilo",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R6,
2026-01,2026,[01] January,"Pandan, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Patnongon, Antique",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"San Joaquin, Iloilo",[5] Admin Training,[C] For Training/Others,2nd,Mun,2nd,R6,
2026-01,2026,[01] January,"San Remigio, Antique",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Santa Barbara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Sapi-An, Capiz",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Sara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Sebaste, Antique",[5] Admin Training,[C] For Training/Others,4th,Mun,4th,R6,
2026-01,2026,[01] January,"Tangalan, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Tapaz, Capiz",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Tobias Fornier, Antique",[8] Withdraw,[D] Withdraw,4th,Mun,4th,R6,
2026-01,2026,[01] January,"Zarraga, Iloilo",[5] Admin Training,[C] For Training/Others,4th,Mun,4th,R6,
2026-01,2026,[01] January,"Bagumbayan, Sultan Kudarat",[3] System Setup,[B] Developmental,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"City of Kidapawan, Cotabato",[1] Live,[A] Live,3rd,City,3rd,R12,v1
2026-01,2026,[01] January,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Lebak, Sultan Kudarat",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,R12,
2026-01,2026,[01] January,"M'Lang, Cotabato",[3] System Setup,[B] Developmental,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Midsayap, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Pigkawayan, Cotabato",[3] System Setup,[B] Developmental,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Bayabas, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Carmen, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Lingig, Surigao del Sur",[7] To Follow-up,[C] For Training/Others,2nd,Mun,2nd,R13,
2026-01,2026,[01] January,"San Agustin, Surigao del Sur",[2] UAT,[B] Developmental,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"San Miguel, Surigao del Sur",[2] UAT,[B] Developmental,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Socorro, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-01,2026,[01] January,"Tagana-An, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Tagbina, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Tago, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"Trento, Agusan del Sur",[2] UAT,[B] Developmental,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Tubod, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-01,2026,[01] January,"Alcantara, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Baco, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Banton, Romblon",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Busuanga, Palawan",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Calintaan, Occidental Mindoro",[2] UAT,[B] Developmental,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Coron, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"El Nido, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Ferrol, Romblon",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
2026-01,2026,[01] January,"Gloria, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Looc, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Pinamalayan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Rizal, Occidental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Sablayan, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Jose, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Teodoro, Oriental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"San Vicente, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Dumingag, Zamboanga del Sur",[7] To Follow-up,[C] For Training/Others,2nd,Mun,2nd,R9,
2026-01,2026,[01] January,"Guipos, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Labangan, Zamboanga del Sur",[7] To Follow-up,[C] For Training/Others,3rd,Mun,3rd,R9,
2026-01,2026,[01] January,"Lakewood, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Polanco, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-01,2026,[01] January,"Pres. Manuel A. Roxas, Zamboanga del Norte",[7] To Follow-up,[C] For Training/Others,2nd,Mun,2nd,R9,
2026-01,2026,[01] January,"Rizal, Zamboanga del Norte",[2] UAT,[B] Developmental,5th,Mun,5th,R9,v1
2026-01,2026,[01] January,"San Pablo, Zamboanga del Sur",[7] To Follow-up,[C] For Training/Others,4th,Mun,4th,R9,
2026-01,2026,[01] January,"Siayan, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Sindangan, Zamboanga del Norte",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,R9,
2026-01,2026,[01] January,"Tabina, Zamboanga del Sur",[2] UAT,[B] Developmental,4th,Mun,4th,R9,v1
2026-01,2026,[01] January,"Talipao, Sulu",[1] Live,[A] Live,1st,Mun,1st,BARMM I,v1
2026-01,2026,[01] January,"Titay, Zamboanga Sibugay",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-01,2026,[01] January,"Upi, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Alabat, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Alfonso, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Amadeo, Cavite",[2] UAT,[B] Developmental,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Balayan, Batangas",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Candelaria, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Cardona, Rizal",[5] Admin Training,[C] For Training/Others,3rd,Mun,3rd,R4A,
2026-01,2026,[01] January,"Cavinti, Laguna",[2] UAT,[B] Developmental,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"General Luna, Quezon",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"General Nakar, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Gumaca, Quezon",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,R4A,
2026-01,2026,[01] January,"Infanta, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Lemery, Batangas",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R4A,
2026-01,2026,[01] January,"Lian, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Mabini, Batangas",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Magallanes, Cavite",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Mauban, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Naic, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Paete, Laguna",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Pitogo, Quezon",[2] UAT,[B] Developmental,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Sampaloc, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"San Luis, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"San Nicolas, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Santa Teresita, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Taal, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Tanay, Rizal",[4] For Data Build-up,[B] Developmental,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"City of Tabuk, Kalinga",[1] Live,[A] Live,5th,City,5th,CAR,v1
2026-01,2026,[01] January,"Aliaga, Nueva Ecija",[8] Withdraw,[D] Withdraw,2nd,Mun,2nd,R3,
2026-01,2026,[01] January,"Arayat, Pampanga",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Baler, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Cabiao, Nueva Ecija",[3] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Casiguran, Aurora",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"City of Meycauayan, Bulacan",[8] Withdraw,[D] Withdraw,3rd,City,3rd,R3,
2026-01,2026,[01] January,"City of Olongapo, Zambales",[8] Withdraw,[D] Withdraw,1st,City,1st,R3,
2026-01,2026,[01] January,"City of Palayan, Nueva Ecija",[2] UAT,[B] Developmental,5th,City,5th,R3,v1
2026-01,2026,[01] January,"Dingalan, Aurora",[2] UAT,[B] Developmental,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Dipaculao, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Gabaldon, Nueva Ecija",[2] UAT,[B] Developmental,4th,Mun,4th,R3,v1
2026-01,2026,[01] January,"Gerona, Tarlac",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Iba, Zambales",[2] UAT,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Limay, Bataan",[6] With Concerns,[C] For Training/Others,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Macabebe, Pampanga",[6] With Concerns,[C] For Training/Others,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Maria Aurora, Aurora",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Norzagaray, Bulacan",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"San Antonio, Zambales",[2] UAT,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"San Luis, Pampanga",[6] With Concerns,[C] For Training/Others,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"San Narciso, Zambales",[1] Live,[A] Live,4th,Mun,4th,R3,v1
2026-01,2026,[01] January,"Santa Ignacia, Tarlac",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Zaragoza, Nueva Ecija",[2] UAT,[B] Developmental,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"City of Batac, Ilocos Norte",[1] Live,[A] Live,5th,City,5th,R1,v1
2026-01,2026,[01] January,"City of Laoag, Ilocos Norte",[5] Admin Training,[C] For Training/Others,3rd,City,3rd,R1,
2026-01,2026,[01] January,"Dasol, Pangasinan",[7] To Follow-up,[C] For Training/Others,3rd,Mun,3rd,R1,
2026-01,2026,[01] January,"Laoac, Pangasinan",[7] To Follow-up,[C] For Training/Others,4th,Mun,4th,R1,
2026-01,2026,[01] January,"Pagudpud, Ilocos Norte",[2] UAT,[B] Developmental,4th,Mun,4th,R1,v1
2026-01,2026,[01] January,"Pozorrubio, Pangasinan",[5] Admin Training,[C] For Training/Others,1st,Mun,1st,R1,
2026-01,2026,[01] January,"San Esteban, Ilocos Sur",[5] Admin Training,[C] For Training/Others,5th,Mun,5th,R1,
2026-01,2026,[01] January,"Alcantara, Cebu",[3] System Setup,[B] Developmental,5th,Mun,5th,R7,v1
2026-01,2026,[01] January,"Argao, Cebu",[1] Live,[A] Live,1st,Mun,1st,R7,v1
2026-01,2026,[01] January,"Balamban, Cebu",[1] Live,[A] Live,1st,Mun,1st,R7,v1
2026-01,2026,[01] January,"Buenavista, Bohol",[1] Live,[A] Live,4th,Mun,4th,R7,v1
2026-01,2026,[01] January,"Candijay, Bohol",[1] Live,[A] Live,4th,Mun,4th,R7,v1
2026-01,2026,[01] January,"City of Mandaue, Cebu",[3] System Setup,[B] Developmental,1st,City,1st,R7,v1
2026-01,2026,[01] January,"Compostela, Cebu",[3] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-01,2026,[01] January,"Daanbantayan, Cebu",[3] System Setup,[B] Developmental,1st,Mun,1st,R7,v1
2026-01,2026,[01] January,"Danao, Bohol",[1] Live,[A] Live,4th,Mun,4th,R7,v1
2026-01,2026,[01] January,"Madridejos, Cebu",[1] Live,[A] Live,4th,Mun,4th,R7,v1
2026-01,2026,[01] January,"Minglanilla, Cebu",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,R7,
2026-01,2026,[01] January,"Pinamungajan, Cebu",[1] Live,[A] Live,2nd,Mun,2nd,R7,v1
2026-01,2026,[01] January,"Samboan, Cebu",[8] Withdraw,[D] Withdraw,5th,Mun,5th,R7,
2026-01,2026,[01] January,"San Francisco, Cebu",[2] UAT,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-01,2026,[01] January,"Trinidad, Bohol",[1] Live,[A] Live,3rd,Mun,3rd,R7,v1
2026-01,2026,[01] January,"Tuburan, Cebu",[1] Live,[A] Live,2nd,Mun,2nd,R7,v1
2026-01,2026,[01] January,"Tudela, Cebu",[1] Live,[A] Live,5th,Mun,5th,R7,v1
2026-01,2026,[01] January,"Abuyog, Leyte",[1] Live,[A] Live,1st,Mun,1st,R8,v1
2026-01,2026,[01] January,"Alangalang, Leyte",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Albuera, Leyte",[1] Live,[A] Live,3rd,Mun,3rd,R8,v1
2026-01,2026,[01] January,"Basey, Samar",[1] Live,[A] Live,1st,Mun,1st,R8,v1
2026-01,2026,[01] January,"Bontoc, Southern Leyte",[2] UAT,[B] Developmental,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Caibiran, Biliran",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Carigara, Leyte",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"City of Borongan, Eastern Samar",[1] Live,[A] Live,1st,City,1st,R8,v1
2026-01,2026,[01] January,"City of Catbalogan, Samar",[1] Live,[A] Live,5th,City,5th,R8,v1
2026-01,2026,[01] January,"City of Maasin, Southern Leyte",[1] Live,[A] Live,4th,City,4th,R8,v1
2026-01,2026,[01] January,"Gandara, Samar",[2] UAT,[B] Developmental,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Guiuan, Eastern Samar",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Hilongos, Leyte",[2] UAT,[B] Developmental,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Hindang, Leyte",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Inopacan, Leyte",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Javier, Leyte",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Jiabong, Samar",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Kananga, Leyte",[1] Live,[A] Live,1st,Mun,1st,R8,v1
2026-01,2026,[01] January,"Kawayan, Biliran",[8] Withdraw,[D] Withdraw,5th,Mun,5th,R8,
2026-01,2026,[01] January,"La Paz, Leyte",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Leyte, Leyte",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Liloan, Southern Leyte",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Macrohon, Southern Leyte",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Malitbog, Southern Leyte",[2] UAT,[B] Developmental,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Mayorga, Leyte",[2] UAT,[B] Developmental,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Motiong, Samar",[2] UAT,[B] Developmental,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Naval, Biliran",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Padre Burgos, Southern Leyte",[2] UAT,[B] Developmental,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Palo, Leyte",[1] Live,[A] Live,3rd,Mun,3rd,R8,v1
2026-01,2026,[01] January,"Pambujan, Northern Samar",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Paranas, Samar",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Pastrana, Leyte",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"San Juan, Southern Leyte",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"San Roque, Northern Samar",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-01,2026,[01] January,"Santa Rita, Samar",[2] UAT,[B] Developmental,3rd,Mun,3rd,R8,v1
2026-01,2026,[01] January,"Sogod, Southern Leyte",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-01,2026,[01] January,"Tomas Oppus, Southern Leyte",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Bansalan, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Boston, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"Carmen, Davao del Norte",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Cateel, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"City of Digos, Davao del Sur",[1] Live,[A] Live,2nd,City,2nd,R11,v1
2026-01,2026,[01] January,"City of Mati, Davao Oriental",[1] Live,[A] Live,5th,City,5th,R11,v1
2026-01,2026,[01] January,"Governor Generoso, Davao Oriental",[2] UAT,[B] Developmental,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"Lupon, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Malalag, Davao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"Manay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"Maragusan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Matanao, Davao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"Padada, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"Santa Cruz, Davao del Sur",[2] UAT,[B] Developmental,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Sulop, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"Tarragona, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"Magsaysay, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"New Bataan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Aurora, Isabela",[6] With Concerns,[C] For Training/Others,3rd,Mun,3rd,R2,v1
2026-01,2026,[01] January,"City of Ilagan, Isabela",[1] Live,[A] Live,1st,City,1st,R2,v1
2026-01,2026,[01] January,"Aroroy, Masbate",[3] System Setup,[B] Developmental,1st,Mun,1st,R5,v1
2026-01,2026,[01] January,"Barcelona, Sorsogon",[3] System Setup,[B] Developmental,5th,Mun,5th,R5,v1
2026-01,2026,[01] January,"Capalonga, Camarines Norte",[3] System Setup,[B] Developmental,3rd,Mun,3rd,R5,v1
2026-01,2026,[01] January,"Jose Panganiban, Camarines Norte",[3] System Setup,[B] Developmental,2nd,Mun,2nd,R5,v1
2026-01,2026,[01] January,"Labo, Camarines Norte",[6] With Concerns,[C] For Training/Others,1st,Mun,1st,R5,v1
2026-01,2026,[01] January,"Mercedes, Camarines Norte",[3] System Setup,[B] Developmental,2nd,Mun,2nd,R5,v1
2026-01,2026,[01] January,"Talisay, Camarines Norte",[1] Live,[A] Live,4th,Mun,4th,R5,v1
2026-01,2026,[01] January,"Tiwi, Albay",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R5,
2026-01,2026,[01] January,"Vinzons, Camarines Norte",[3] System Setup,[B] Developmental,3rd,Mun,3rd,R5,v1
2026-01,2026,[01] January,"Virac, Catanduanes",[6] With Concerns,[C] For Training/Others,1st,Mun,1st,R5,v1
2026-01,2026,[01] January,"Aloran, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-01,2026,[01] January,"Bacolod, Lanao del Norte",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-01,2026,[01] January,"Baroy, Lanao del Norte",[3] System Setup,[B] Developmental,4th,Mun,4th,R10,v1
2026-01,2026,[01] January,"Bonifacio, Misamis Occidental",[7] To Follow-up,[C] For Training/Others,4th,Mun,4th,R10,
2026-01,2026,[01] January,"Calamba, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-01,2026,[01] January,"Catarman, Camiguin",[2] UAT,[B] Developmental,5th,Mun,5th,R10,v1
2026-01,2026,[01] January,"City of Gingoog, Misamis Oriental",[1] Live,[A] Live,2nd,City,2nd,R10,v1
