,ENGAGEMENT STATUS,,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Sampaloc, Quezon",2023,2023-01,02/06/2023,,,04-056-39-000,04-56-39-000,Sampaloc,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tanay, Rizal",2023,2023-01,12/16/2022,,,04-058-12-000,04-58-12-000,Tanay,Rizal,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tangalan, Aklan",2022,2022-12,12/06/2022,12/23/2022,12/27/2022,06-004-17-000,06-04-17-000,Tangalan,Aklan,Region VI (Western Visayas),Municipality,5th,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pinamungajan, Cebu",2023,2023-01,12/16/2022,12/19/2022,12/20/2022,07-022-37-000,07-22-37-000,Pinamungajan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Borongan, Eastern Samar",2022,2022-12,10/14/2022,10/18/2022,10/18/2022,08-026-04-000,08-26-04-000,City of Borongan,Eastern Samar,Region VIII (Eastern Visayas),City,1st (as Mun),R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Claveria, Misamis Oriental",2022,2022-12,11/29/2022,12/05/2022,12/06/2022,10-043-06-000,10-43-06-000,Claveria,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sulop, Davao del Sur",2023,2023-01,12/05/2022,12/12/2022,12/13/2022,11-024-14-000,11-24-14-000,Sulop,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lupon, Davao Oriental",2022,2022-12,11/22/2022,11/22/2022,11/23/2022,11-025-07-000,11-25-07-000,Lupon,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,A,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Manay, Davao Oriental",2022,2022-12,11/16/2022,11/17/2022,11/18/2022,11-025-08-000,11-25-08-000,Manay,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,A,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Laak, Davao de Oro",2023,2023-01,01/05/2023,01/06/2023,01/10/2023,11-082-02-000,11-82-02-000,Laak,Davao de Oro,Region XI (Davao Region),Municipality,1st,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mawab, Davao de Oro",2023,2023-01,11/29/2022,12/12/2022,12/13/2022,11-082-06-000,11-82-06-000,Mawab,Davao de Oro,Region XI (Davao Region),Municipality,3rd,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kabacan, Cotabato",2022,2022-12,,,,12-047-03-000,12-47-03-000,Kabacan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sablan, Benguet",2022,2022-12,,12/23/2022,12/27/2022,14-011-12-000,14-11-12-000,Sablan,Benguet,Cordillera Administrative Region (CAR),Municipality,5th,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Tabuk, Kalinga",2022,2022-12,,12/13/2022,12/15/2022,14-032-13-000,14-32-13-000,City of Tabuk,Kalinga,Cordillera Administrative Region (CAR),City,5th,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bontoc, Mountain Province",2022,2022-12,,11/29/2022,12/06/2022,14-044-04-000,14-44-04-000,Bontoc,Mountain Province,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Francisco, Agusan del Sur",2022,2022-12,,,,16-003-08-000,16-03-08-000,San Francisco,Agusan del Sur,Region XIII (Caraga),Municipality,1st,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Naujan, Oriental Mindoro",2023,2023-01,,,,17-052-08-000,17-52-08-000,Naujan,Oriental Mindoro,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pinamalayan, Oriental Mindoro",2022,2022-12,,,,17-052-09-000,17-52-09-000,Pinamalayan,Oriental Mindoro,MIMAROPA Region,Municipality,1st,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Teodoro, Oriental Mindoro",2022,2022-12,,,,17-052-13-000,17-52-13-000,San Teodoro,Oriental Mindoro,MIMAROPA Region,Municipality,4th,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Coron, Palawan",2022,2022-12,,,,17-053-09-000,17-53-09-000,Coron,Palawan,MIMAROPA Region,Municipality,1st,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"El Nido, Palawan",2022,2022-12,,,,17-053-12-000,17-53-12-000,El Nido,Palawan,MIMAROPA Region,Municipality,1st,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Culion, Palawan",2023,2023-01,,,,17-053-22-000,17-53-22-000,Culion,Palawan,MIMAROPA Region,Municipality,3rd,R4B,B,G,#N/A,#N/A,[3] With Concerns,[A] Operational,[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the updated LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the updated LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the updated LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the updated LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the updated LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the updated LRC to fully adpot and Integrate the system",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Looc, Romblon",2023,2023-01,,,,17-059-07-000,17-59-07-000,Looc,Romblon,MIMAROPA Region,Municipality,4th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cabagan, Isabela",2023,2023-02,02/07/2023,02/08/2023,02/14/2023,02-031-06-000,02-31-06-000,Cabagan,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tuba, Benguet",2023,2023-02,02/21/2023,02/21/2023,02/22/2023,14-011-13-000,14-11-13-000,Tuba,Benguet,Cordillera Administrative Region (CAR),Municipality,1st,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balayan, Batangas",2023,2023-02,,,,04-010-03-000,04-10-03-000,Balayan,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tuy, Batangas",2023,2023-02,,,,04-010-34-000,04-10-34-000,Tuy,Batangas,Region IV-A (CALABARZON),Municipality,3rd,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Nicolas, Batangas",2023,2023-02,,,,04-010-25-000,04-10-25-000,San Nicolas,Batangas,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"General Emilio Aguinaldo, Cavite",2023,2023-02,,,,04-021-07-000,04-21-07-000,General Emilio Aguinaldo,Cavite,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Magallanes, Cavite",2023,2023-02,,,,04-021-12-000,04-21-12-000,Magallanes,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Famy, Laguna",2023,2023-02,,,,04-034-08-000,04-34-08-000,Famy,Laguna,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
