ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,DISTRICT,LEVEL,INCOME CLASS,DICT RO,SORT
[2024-09] 02-015-01-000,2024-09,2024,[09] September,"Abulug, Cagayan",[8] Withdraw,,,,Letter of Withdrawal_Abulug Cagayan.pdf,[D] Withdraw,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2023-12] 02-015-01-000,2023-12,2023,[12] December,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-01] 08-037-01-000,2024-01,2024,[01] January,"Abuyog, Leyte",[1] Operational,,,,Normal Operations ,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-02] 08-037-01-000,2024-02,2024,[02] February,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-03] 08-037-01-000,2024-03,2024,[03] March,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-04] 08-037-01-000,2024-04,2024,[04] April,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-05] 08-037-01-000,2024-05,2024,[05] May,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-06] 08-037-01-000,2024-06,2024,[06] June,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-07] 08-037-01-000,2024-07,2024,[07] July,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-08] 08-037-01-000,2024-08,2024,[08] August,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-09] 08-037-01-000,2024-09,2024,[09] September,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2023-12] 08-037-01-000,2023-12,2023,[12] December,"Abuyog, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),5th,Municipality,1st*,R8,K
[2024-01] 01-028-01-000,2024-01,2024,[01] January,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-02] 01-028-01-000,2024-02,2024,[02] February,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-03] 01-028-01-000,2024-03,2024,[03] March,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-04] 01-028-01-000,2024-04,2024,[04] April,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-05] 01-028-01-000,2024-05,2024,[05] May,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-06] 01-028-01-000,2024-06,2024,[06] June,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-07] 01-028-01-000,2024-07,2024,[07] July,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-08] 01-028-01-000,2024-08,2024,[08] August,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-09] 01-028-01-000,2024-09,2024,[09] September,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2023-12] 01-028-01-000,2023-12,2023,[12] December,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),1st,Municipality,5th,R1,C
[2024-01] 02-057-01-000,2024-01,2024,[01] January,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-02] 02-057-01-000,2024-02,2024,[02] February,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-03] 02-057-01-000,2024-03,2024,[03] March,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-04] 02-057-01-000,2024-04,2024,[04] April,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-05] 02-057-01-000,2024-05,2024,[05] May,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-06] 02-057-01-000,2024-06,2024,[06] June,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-07] 02-057-01-000,2024-07,2024,[07] July,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-08] 02-057-01-000,2024-08,2024,[08] August,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-09] 02-057-01-000,2024-09,2024,[09] September,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2023-12] 02-057-01-000,2023-12,2023,[12] December,"Aglipay, Quirino",[1] Operational,,,,,[A] Operational,A,02-057-01-000,Aglipay,Quirino,Region II (Cagayan Valley),Lone ,Municipality,3rd,R2,D
[2024-01] 04-010-01-000,2024-01,2024,[01] January,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-02] 04-010-01-000,2024-02,2024,[02] February,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-03] 04-010-01-000,2024-03,2024,[03] March,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-04] 04-010-01-000,2024-04,2024,[04] April,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-05] 04-010-01-000,2024-05,2024,[05] May,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-06] 04-010-01-000,2024-06,2024,[06] June,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-07] 04-010-01-000,2024-07,2024,[07] July,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-08] 04-010-01-000,2024-08,2024,[08] August,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-09] 04-010-01-000,2024-09,2024,[09] September,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2023-12] 04-010-01-000,2023-12,2023,[12] December,"Agoncillo, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-01-000,Agoncillo,Batangas,Region IV-A (CALABARZON),3rd,Municipality,4th,R4A,F
[2024-01] 01-033-01-000,2024-01,2024,[01] January,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-02] 01-033-01-000,2024-02,2024,[02] February,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-03] 01-033-01-000,2024-03,2024,[03] March,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-04] 01-033-01-000,2024-04,2024,[04] April,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-05] 01-033-01-000,2024-05,2024,[05] May,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-06] 01-033-01-000,2024-06,2024,[06] June,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-07] 01-033-01-000,2024-07,2024,[07] July,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-08] 01-033-01-000,2024-08,2024,[08] August,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-09] 01-033-01-000,2024-09,2024,[09] September,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2023-12] 01-033-01-000,2023-12,2023,[12] December,"Agoo, La Union",[1] Operational,,,,,[A] Operational,A,01-033-01-000,Agoo,La Union,Region I (Ilocos Region),1st,Municipality,1st,R1,C
[2024-01] 01-055-02-000,2024-01,2024,[01] January,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-02] 01-055-02-000,2024-02,2024,[02] February,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-03] 01-055-02-000,2024-03,2024,[03] March,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-04] 01-055-02-000,2024-04,2024,[04] April,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-05] 01-055-02-000,2024-05,2024,[05] May,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-06] 01-055-02-000,2024-06,2024,[06] June,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-07] 01-055-02-000,2024-07,2024,[07] July,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-08] 01-055-02-000,2024-08,2024,[08] August,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-09] 01-055-02-000,2024-09,2024,[09] September,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2023-12] 01-055-02-000,2023-12,2023,[12] December,"Aguilar, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),2nd,Municipality,3rd,R1,C
[2024-01] 14-027-08-000,2024-01,2024,[01] January,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-02] 14-027-08-000,2024-02,2024,[02] February,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-03] 14-027-08-000,2024-03,2024,[03] March,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-04] 14-027-08-000,2024-04,2024,[04] April,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-05] 14-027-08-000,2024-05,2024,[05] May,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-06] 14-027-08-000,2024-06,2024,[06] June,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-07] 14-027-08-000,2024-07,2024,[07] July,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-08] 14-027-08-000,2024-08,2024,[08] August,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-09] 14-027-08-000,2024-09,2024,[09] September,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2023-12] 14-027-08-000,2023-12,2023,[12] December,"Aguinaldo, Ifugao",[1] Operational,,,,,[A] Operational,A,14-027-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Lone ,Municipality,2nd,CAR,B
[2024-01] 06-030-01-000,2024-01,2024,[01] January,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-02] 06-030-01-000,2024-02,2024,[02] February,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-03] 06-030-01-000,2024-03,2024,[03] March,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-04] 06-030-01-000,2024-04,2024,[04] April,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-05] 06-030-01-000,2024-05,2024,[05] May,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-06] 06-030-01-000,2024-06,2024,[06] June,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-07] 06-030-01-000,2024-07,2024,[07] July,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
[2024-08] 06-030-01-000,2024-08,2024,[08] August,"Ajuy, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-01-000,Ajuy,Iloilo,Region VI (Western Visayas),5th,Municipality,2nd,R6,I
