REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
2026-01,2026,[01] January,"Gloria, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Looc, Occidental Mindoro",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-01,2026,[01] January,"Looc, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"Naujan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Pinamalayan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Quezon, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Rizal, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Jose, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"San Teodoro, Oriental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-01,2026,[01] January,"San Vicente, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-01,2026,[01] January,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-01,2026,[01] January,"Upi, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Parang, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-01,2026,[01] January,"Alabat, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Alfonso, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Amadeo, Cavite",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Balayan, Batangas",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Cardona, Rizal",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Famy, Laguna",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"General Emilio Aguinaldo, Cavite",[2] System Setup,[B] Developmental,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"General Luna, Quezon",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"General Nakar, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Gumaca, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Infanta, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Lobo, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Magallanes, Cavite",[2] System Setup,[B] Developmental,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Naic, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Paete, Laguna",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Pitogo, Quezon",[2] System Setup,[B] Developmental,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"Polillo, Quezon",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Quezon, Quezon",[2] System Setup,[B] Developmental,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Rosario, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Sampaloc, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"San Luis, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-01,2026,[01] January,"San Nicolas, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-01,2026,[01] January,"Siniloan, Laguna",[1] Live,[A] Live,2nd,Mun,2nd,R4A,v1
2026-01,2026,[01] January,"Tanay, Rizal",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-01,2026,[01] January,"Tuy, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-01,2026,[01] January,"Bauko, Mountain Province",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Bontoc, Mountain Province",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-01,2026,[01] January,"City of Tabuk, Kalinga",[1] Live,[A] Live,5th,City,5th,CAR,v1
2026-01,2026,[01] January,"Hungduan, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Lamut, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Mankayan, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-01,2026,[01] January,"Pudtol, Apayao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Sablan, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Tuba, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-01,2026,[01] January,"Tublay, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-01,2026,[01] January,"Banaue, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-01,2026,[01] January,"Arayat, Pampanga",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Baler, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Casiguran, Aurora",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"City of Olongapo, Zambales",[4] Withdraw,[D] Withdraw,1st,City,1st,R3,
2026-01,2026,[01] January,"City of San Jose Del Monte, Bulacan",[1] Live,[A] Live,1st,City,1st,R3,v1
2026-01,2026,[01] January,"Macabebe, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Magalang, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Rizal, Nueva Ecija",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"San Luis, Pampanga",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Santo Domingo, Nueva Ecija",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Talugtug, Nueva Ecija",[2] System Setup,[B] Developmental,4th,Mun,4th,R3,v1
2026-01,2026,[01] January,"Mexico, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-01,2026,[01] January,"Dilasag, Aurora",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R3,v1
2026-01,2026,[01] January,"Bongabon, Nueva Ecija",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"Aliaga, Nueva Ecija",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-01,2026,[01] January,"San Narciso, Zambales",[1] Live,[A] Live,4th,Mun,4th,R3,v1
2026-01,2026,[01] January,"Basay, Negros Oriental",[1] Live,[A] Live,4th,Mun,4th,NIR,v1
2026-01,2026,[01] January,"Dauin, Negros Oriental",[2] System Setup,[B] Developmental,4th,Mun,4th,NIR,v1
2026-01,2026,[01] January,"Enrique Villanueva, Siquijor",[1] Live,[A] Live,5th,Mun,5th,NIR,v1
2026-01,2026,[01] January,"Mabinay, Negros Oriental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-01,2026,[01] January,"Sibulan, Negros Oriental",[1] Live,[A] Live,2nd,Mun,2nd,NIR,v1
2026-01,2026,[01] January,"City of Himamaylan, Negros Occidental",[1] Live,[A] Live,3rd,City,3rd,NIR,v1
2026-01,2026,[01] January,"Claveria, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-01,2026,[01] January,"Caoayan, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-01,2026,[01] January,"City of Laoag, Ilocos Norte",[1] Live,[A] Live,3rd,City,3rd,R1,v1
2026-01,2026,[01] January,"Sison, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-01,2026,[01] January,"Alcoy, Cebu",[2] System Setup,[B] Developmental,5th,Mun,5th,R7,v1
2026-01,2026,[01] January,"Jagna, Bohol",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-01,2026,[01] January,"Madridejos, Cebu",[2] System Setup,[B] Developmental,4th,Mun,4th,R7,v1
2026-01,2026,[01] January,"Pinamungajan, Cebu",[1] Live,[A] Live,2nd,Mun,2nd,R7,v1
2026-01,2026,[01] January,"San Francisco, Cebu",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-01,2026,[01] January,"Tuburan, Cebu",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R7,v1
2026-01,2026,[01] January,"City of Borongan, Eastern Samar",[1] Live,[A] Live,1st,City,1st,R8,v1
2026-01,2026,[01] January,"Pastrana, Leyte",[3] With Concerns,[A] Live,5th,Mun,5th,R8,v1
2026-01,2026,[01] January,"Bansalan, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Cateel, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"City of Digos, Davao del Sur",[1] Live,[A] Live,2nd,City,2nd,R11,v1
2026-01,2026,[01] January,"Laak, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Lupon, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"Manay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-01,2026,[01] January,"Mawab, Davao de Oro",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"New Bataan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-01,2026,[01] January,"San Isidro, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"Sulop, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-01,2026,[01] January,"Cabagan, Isabela",[1] Live,[A] Live,1st,Mun,1st,R2,v1
2026-01,2026,[01] January,"City of Ilagan, Isabela",[1] Live,[A] Live,1st,City,1st,R2,v1
2026-01,2026,[01] January,"San Manuel, Isabela",[1] Live,[A] Live,4th,Mun,4th,R2,v1
2026-01,2026,[01] January,"Sanchez-Mira, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-01,2026,[01] January,"Enrile, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-02,2026,[02] February,"Barbaza, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Cabatuan, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-02,2026,[02] February,"Laua-An, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Malay, Aklan",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-02,2026,[02] February,"San Joaquin, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-02,2026,[02] February,"San Miguel, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Sara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-02,2026,[02] February,"Sibalom, Antique",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-02,2026,[02] February,"Tangalan, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-02,2026,[02] February,"Upi, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-02,2026,[02] February,"Parang, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-02,2026,[02] February,"Caoayan, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"City of Laoag, Ilocos Norte",[1] Live,[A] Live,3rd,City,3rd,R1,v1
2026-02,2026,[02] February,"San Nicolas, Ilocos Norte",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R1,v1
2026-02,2026,[02] February,"Santa Cruz, Ilocos Sur",[2] System Setup,[B] Developmental,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Sison, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Basay, Negros Oriental",[1] Live,[A] Live,4th,Mun,4th,NIR,v1
2026-02,2026,[02] February,"Dauin, Negros Oriental",[2] System Setup,[B] Developmental,4th,Mun,4th,NIR,v1
2026-02,2026,[02] February,"Enrique Villanueva, Siquijor",[1] Live,[A] Live,5th,Mun,5th,NIR,v1
2026-02,2026,[02] February,"Mabinay, Negros Oriental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-02,2026,[02] February,"Sibulan, Negros Oriental",[1] Live,[A] Live,2nd,Mun,2nd,NIR,v1
2026-02,2026,[02] February,"City of Himamaylan, Negros Occidental",[1] Live,[A] Live,3rd,City,3rd,NIR,v1
2026-02,2026,[02] February,"Claveria, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Jasaan, Misamis Oriental",N/A,#N/A,2nd,Mun,2nd,R10,
2026-02,2026,[02] February,"Medina, Misamis Oriental",N/A,#N/A,4th,Mun,4th,R10,
2026-02,2026,[02] February,"Bansalan, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Cateel, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"City of Digos, Davao del Sur",[1] Live,[A] Live,2nd,City,2nd,R11,v1
2026-02,2026,[02] February,"Laak, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Lupon, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Manay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Mawab, Davao de Oro",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"New Bataan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"San Isidro, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Sulop, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Antipas, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Esperanza, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Isulan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Libungan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Matalam, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"General Emilio Aguinaldo, Cavite",[2] System Setup,[B] Developmental,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"Magallanes, Cavite",[2] System Setup,[B] Developmental,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Pitogo, Quezon",[2] System Setup,[B] Developmental,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Quezon, Quezon",[2] System Setup,[B] Developmental,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"Alabat, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"Alfonso, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Amadeo, Cavite",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Balayan, Batangas",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Cardona, Rizal",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Famy, Laguna",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"General Luna, Quezon",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"General Nakar, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Gumaca, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Infanta, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Lobo, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Naic, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Paete, Laguna",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Polillo, Quezon",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Rosario, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Sampaloc, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"San Luis, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"San Nicolas, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"Siniloan, Laguna",[1] Live,[A] Live,2nd,Mun,2nd,R4A,v1
2026-02,2026,[02] February,"Tanay, Rizal",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Tuy, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Alcoy, Cebu",[2] System Setup,[B] Developmental,5th,Mun,5th,R7,v1
2026-02,2026,[02] February,"Jagna, Bohol",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-02,2026,[02] February,"Madridejos, Cebu",[2] System Setup,[B] Developmental,4th,Mun,4th,R7,v1
2026-02,2026,[02] February,"Pinamungajan, Cebu",[1] Live,[A] Live,2nd,Mun,2nd,R7,v1
2026-02,2026,[02] February,"San Francisco, Cebu",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-02,2026,[02] February,"Tuburan, Cebu",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R7,v1
2026-02,2026,[02] February,"City of Borongan, Eastern Samar",[1] Live,[A] Live,1st,City,1st,R8,v1
2026-02,2026,[02] February,"Pastrana, Leyte",[3] With Concerns,[A] Live,5th,Mun,5th,R8,v1
2026-02,2026,[02] February,"Calbiga, Samar",[2] System Setup,[B] Developmental,4th,Mun,4th,R8,v1
2026-02,2026,[02] February,"Paranas, Samar",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R8,v1
2026-02,2026,[02] February,"Santa Margarita, Samar",[2] System Setup,[B] Developmental,4th,Mun,4th,R8,v1
2026-02,2026,[02] February,"Abuyog, Leyte",[1] Live,[A] Live,1st,Mun,1st,R8,v1
2026-02,2026,[02] February,"Sogod, Southern Leyte",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R8,v1
2026-02,2026,[02] February,"Mondragon, Northern Samar",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R8,v1
2026-02,2026,[02] February,"San Roque, Northern Samar",[2] System Setup,[B] Developmental,4th,Mun,4th,R8,v1
2026-02,2026,[02] February,"Aborlan, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Baco, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-02,2026,[02] February,"Bansud, Oriental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-02,2026,[02] February,"Bongabong, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Bulalacao, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-02,2026,[02] February,"Coron, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Culion, Palawan",[3] With Concerns,[A] Live,3rd,Mun,3rd,R4B,v1
2026-02,2026,[02] February,"El Nido, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Ferrol, Romblon",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
2026-02,2026,[02] February,"Gloria, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-02,2026,[02] February,"Looc, Occidental Mindoro",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-02,2026,[02] February,"Looc, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-02,2026,[02] February,"Naujan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Pinamalayan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Quezon, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Rizal, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"San Jose, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"San Teodoro, Oriental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-02,2026,[02] February,"San Vicente, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-02,2026,[02] February,"Bauko, Mountain Province",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-02,2026,[02] February,"Bontoc, Mountain Province",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-02,2026,[02] February,"City of Tabuk, Kalinga",[1] Live,[A] Live,5th,City,5th,CAR,v1
2026-02,2026,[02] February,"Hungduan, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-02,2026,[02] February,"Lamut, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-02,2026,[02] February,"Mankayan, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-02,2026,[02] February,"Pudtol, Apayao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-02,2026,[02] February,"Sablan, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
